City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,WeatherDesc,Date
0,Kavieng,-2.5744,150.7967,85.12,68,98,9.04,PG,overcast clouds,2022-03-13 00:58:05
1,Daoukro,7.0591,-3.9631,74.25,90,100,2.95,CI,overcast clouds,2022-03-13 00:58:05
2,Ponta Do Sol,32.6667,-17.1,66.06,81,99,8.97,PT,overcast clouds,2022-03-13 00:58:05
3,Upernavik,72.7868,-56.1549,-16.8,99,95,9.71,GL,overcast clouds,2022-03-13 00:58:06
4,Faanui,-16.4833,-151.75,81.7,70,100,10.92,PF,overcast clouds,2022-03-13 00:49:48
5,Cidreira,-30.1811,-50.2056,70.57,67,100,8.86,BR,overcast clouds,2022-03-13 00:58:06
6,Puerto Ayora,-0.7393,-90.3518,76.55,99,10,0.85,EC,clear sky,2022-03-13 00:58:07
7,Cape Town,-33.9258,18.4232,65.12,84,0,4.61,ZA,clear sky,2022-03-13 00:54:55
8,Pangnirtung,66.1451,-65.7125,-27.98,91,9,6.13,CA,clear sky,2022-03-13 00:58:07
9,Hilo,19.7297,-155.09,78.24,79,0,7.0,US,clear sky,2022-03-13 00:57:55
10,Jamestown,42.097,-79.2353,16.72,63,75,20.71,US,broken clouds,2022-03-13 00:55:28
11,Toguchin,55.2353,84.3858,-16.46,100,97,5.1,RU,overcast clouds,2022-03-13 00:58:08
12,Busselton,-33.65,115.3333,72.48,68,42,6.73,AU,scattered clouds,2022-03-13 00:58:08
13,Slave Lake,55.2834,-114.769,26.58,74,75,4.61,CA,broken clouds,2022-03-13 00:58:08
14,Oktyabrskiy,54.4815,53.471,-11.11,100,99,0.96,RU,overcast clouds,2022-03-13 00:58:09
15,Ilulissat,69.2167,-51.1,6.82,66,75,10.36,GL,broken clouds,2022-03-13 00:49:42
16,Tasiilaq,65.6145,-37.6368,26.94,96,100,11.12,GL,snow,2022-03-13 00:58:09
17,New Norfolk,-42.7826,147.0587,71.89,38,8,3.0,AU,clear sky,2022-03-13 00:49:41
18,Punta Arenas,-53.15,-70.9167,50.11,57,75,13.8,CL,broken clouds,2022-03-13 00:49:46
19,Torbay,47.6666,-52.7314,41.29,95,100,33.38,CA,light rain,2022-03-13 00:45:24
20,Rikitea,-23.1203,-134.9692,79.9,71,32,13.8,PF,scattered clouds,2022-03-13 00:58:10
21,Namatanai,-3.6667,152.4333,85.51,66,100,5.73,PG,overcast clouds,2022-03-13 00:58:10
22,Kudahuvadhoo,2.6708,72.8944,82.09,71,10,8.12,MV,clear sky,2022-03-13 00:58:10
23,Dzaoudzi,-12.7887,45.2699,80.49,83,0,8.05,YT,clear sky,2022-03-13 00:58:11
24,Komsomolskiy,40.4272,71.7189,50.72,93,100,2.3,UZ,mist,2022-03-13 00:58:11
25,Shakiso,5.75,38.9167,57.29,57,83,3.36,ET,broken clouds,2022-03-13 00:58:11
26,Kropotkin,45.4375,40.5756,28.22,70,22,4.52,RU,few clouds,2022-03-13 00:58:12
27,Kapaa,22.0752,-159.319,80.58,66,20,11.5,US,few clouds,2022-03-13 00:49:48
28,Longyearbyen,78.2186,15.6401,21.04,86,75,4.61,SJ,broken clouds,2022-03-13 00:58:12
29,Hermanus,-34.4187,19.2345,65.12,81,0,10.09,ZA,clear sky,2022-03-13 00:58:13
30,Ithaca,42.4406,-76.4966,20.66,81,75,25.32,US,broken clouds,2022-03-13 00:54:46
31,Itarema,-2.9248,-39.9167,76.46,84,92,4.03,BR,overcast clouds,2022-03-13 00:58:13
32,Nhulunbuy,-12.2333,136.7667,88.41,66,100,13.8,AU,overcast clouds,2022-03-13 00:58:13
33,Ushuaia,-54.8,-68.3,49.66,57,40,12.66,AR,scattered clouds,2022-03-13 00:49:43
34,Avarua,-21.2078,-159.775,84.25,74,20,9.22,CK,few clouds,2022-03-13 00:49:41
35,Marsala,37.7966,12.4352,50.9,82,100,33.4,IT,overcast clouds,2022-03-13 00:58:14
36,Fortuna,40.5982,-124.1573,54.66,75,100,23.02,US,overcast clouds,2022-03-13 00:58:14
37,Hoa Binh,20.8133,105.3383,71.58,91,100,3.09,VN,overcast clouds,2022-03-13 00:57:23
38,Leshukonskoye,64.8989,45.7622,20.62,95,99,7.45,RU,overcast clouds,2022-03-13 00:58:14
39,Kahului,20.8947,-156.47,82.98,74,16,8.99,US,few clouds,2022-03-13 00:58:15
40,Broken Hill,-31.95,141.4333,78.51,50,41,10.36,AU,scattered clouds,2022-03-13 00:58:15
41,Atuona,-9.8,-139.0333,78.91,77,100,14.47,PF,overcast clouds,2022-03-13 00:58:15
42,Imbituba,-28.24,-48.6703,68.83,93,100,3.94,BR,overcast clouds,2022-03-13 00:58:16
43,Vila Velha,-20.3297,-40.2925,80.55,87,75,6.91,BR,broken clouds,2022-03-13 00:58:16
44,Cabo San Lucas,22.8909,-109.9124,73.62,54,4,10.49,MX,clear sky,2022-03-13 00:58:16
45,Mamlyutka,54.9375,68.5394,3.24,93,100,8.39,KZ,overcast clouds,2022-03-13 00:58:16
46,Butaritari,3.0707,172.7902,81.52,78,8,20.54,KI,clear sky,2022-03-13 00:49:44
47,Chokurdakh,70.6333,147.9167,-11.6,94,100,3.53,RU,overcast clouds,2022-03-13 00:58:17
48,Port Lincoln,-34.7333,135.8667,79.54,34,100,9.19,AU,overcast clouds,2022-03-13 00:58:17
49,Havre-Saint-Pierre,50.2334,-63.5986,23.36,93,100,26.46,CA,overcast clouds,2022-03-13 00:59:18
50,Sainte-Ode,50.0262,5.5254,43.77,81,100,11.86,BE,overcast clouds,2022-03-13 00:59:18
51,Kodiak,57.79,-152.4072,40.51,81,100,6.91,US,light rain,2022-03-13 00:59:18
52,Kysyl-Syr,63.8986,122.7617,-5.93,99,99,3.69,RU,overcast clouds,2022-03-13 00:59:19
53,Chuy,-33.6971,-53.4616,59.18,77,0,6.53,UY,clear sky,2022-03-13 00:59:19
54,Georgetown,5.4112,100.3354,82.33,92,20,3.44,MY,few clouds,2022-03-13 00:59:20
55,Ahipara,-35.1667,173.1667,71.71,82,56,3.51,NZ,broken clouds,2022-03-13 00:59:20
56,Flin Flon,54.7682,-101.865,12.04,67,100,5.75,CA,overcast clouds,2022-03-13 00:59:20
57,Mataura,-46.1927,168.8643,64.47,41,0,2.46,NZ,clear sky,2022-03-13 00:49:45
58,Saint George,37.1041,-113.5841,66.25,17,0,0.0,US,clear sky,2022-03-13 00:55:06
59,Albany,42.6001,-73.9662,21.76,69,100,5.01,US,overcast clouds,2022-03-13 00:45:05
60,Barrow,71.2906,-156.7887,-11.83,96,22,7.4,US,few clouds,2022-03-13 00:59:21
61,Okhotsk,59.3833,143.3,20.52,91,100,5.44,RU,light snow,2022-03-13 00:59:21
62,Humberto De Campos,-2.5983,-43.4611,73.98,92,96,2.37,BR,overcast clouds,2022-03-13 00:59:21
63,Avera,33.194,-82.5271,35.65,42,0,14.88,US,clear sky,2022-03-13 00:59:22
64,Shunyi,40.125,116.6453,44.55,81,95,2.24,CN,overcast clouds,2022-03-13 00:59:22
65,Nome,64.5011,-165.4064,18.37,62,0,9.17,US,clear sky,2022-03-13 00:54:40
66,Tuktoyaktuk,69.4541,-133.0374,-14.8,76,40,14.97,CA,scattered clouds,2022-03-13 00:49:47
67,Gazanjyk,39.2446,55.5154,44.71,57,100,9.48,TM,overcast clouds,2022-03-13 00:47:25
68,Nioro,13.35,-15.75,78.91,26,9,3.91,GM,clear sky,2022-03-13 00:59:23
69,Nikolskoye,59.7035,30.7861,31.8,98,100,3.6,RU,overcast clouds,2022-03-13 00:59:23
70,Jimenez,28.3333,-105.4,57.88,22,5,2.42,MX,clear sky,2022-03-13 00:59:24
71,Clyde River,70.4692,-68.5914,-21.77,76,0,3.44,CA,clear sky,2022-03-13 00:49:46
72,Hobart,-42.8794,147.3294,72.27,51,20,6.91,AU,few clouds,2022-03-13 00:59:24
73,Norsup,-16.0667,167.3833,83.77,73,85,6.91,VU,overcast clouds,2022-03-13 00:59:25
74,Saldanha,-33.0117,17.9442,60.85,89,92,6.71,ZA,overcast clouds,2022-03-13 00:59:25
75,Klaksvik,62.2266,-6.589,41.92,86,98,18.05,FO,overcast clouds,2022-03-13 00:59:25
76,Airai,-8.9266,125.4092,72.12,67,62,2.66,TL,light rain,2022-03-13 00:59:26
77,Cherskiy,68.75,161.3,-4.99,95,100,2.35,RU,overcast clouds,2022-03-13 00:59:26
78,Raudeberg,61.9875,5.1352,47.07,61,53,15.19,NO,broken clouds,2022-03-13 00:59:26
79,Namibe,-15.1961,12.1522,72.21,83,100,8.23,AO,overcast clouds,2022-03-13 00:59:27
80,Qaanaaq,77.484,-69.3632,-15.09,70,8,5.37,GL,clear sky,2022-03-13 00:59:27
81,Yulara,-25.2406,130.9889,84.04,14,95,11.5,AU,overcast clouds,2022-03-13 00:59:27
82,Malindi,-3.2175,40.1191,75.83,85,100,2.04,KE,overcast clouds,2022-03-13 00:59:28
83,Vila Franca Do Campo,37.7167,-25.4333,56.19,75,92,8.37,PT,overcast clouds,2022-03-13 00:59:28
84,Junnar,19.2,73.8833,70.92,27,0,4.52,IN,clear sky,2022-03-13 00:59:28
85,Yarada,17.65,83.2667,70.12,83,20,2.3,IN,mist,2022-03-13 00:57:42
86,Iqaluit,63.7506,-68.5145,-22.27,76,20,0.0,CA,few clouds,2022-03-13 00:59:29
87,Trincomalee,8.5711,81.2335,80.98,71,100,10.71,LK,overcast clouds,2022-03-13 00:59:29
88,Cockburn Town,21.4612,-71.1419,76.96,73,40,11.5,TC,scattered clouds,2022-03-13 00:58:40
89,Muhos,64.808,25.9931,24.58,96,100,3.49,FI,overcast clouds,2022-03-13 00:59:29
90,Qaqortoq,60.7167,-46.0333,8.62,61,100,28.21,GL,overcast clouds,2022-03-13 00:59:30
91,Thompson,55.7435,-97.8558,12.36,52,75,4.61,CA,broken clouds,2022-03-13 00:58:57
92,Charters Towers,-20.1,146.2667,83.93,56,78,16.82,AU,broken clouds,2022-03-13 00:59:30
93,Acarau,-2.8856,-40.12,77.38,81,64,4.36,BR,broken clouds,2022-03-13 00:59:31
94,Port Blair,11.6667,92.75,77.04,94,40,0.0,IN,mist,2022-03-13 00:59:31
95,Bathsheba,13.2167,-59.5167,77.61,73,20,23.02,BB,few clouds,2022-03-13 00:59:31
96,Vaini,-21.2,-175.2,82.4,76,17,10.58,TO,few clouds,2022-03-13 01:00:32
97,Esperance,-33.8667,121.9,73.45,59,73,6.33,AU,broken clouds,2022-03-13 01:00:34
98,Aklavik,68.2191,-135.0107,-5.35,85,75,10.09,CA,broken clouds,2022-03-13 01:00:35
99,Khatanga,71.9667,102.5,-24.84,100,100,7.43,RU,overcast clouds,2022-03-13 01:00:35
100,Saint-Ambroise,48.5501,-71.3324,18.57,83,100,11.97,CA,overcast clouds,2022-03-13 01:00:36
101,Deputatskiy,69.3,139.9,-11.83,99,100,3.18,RU,overcast clouds,2022-03-13 01:00:36
102,Norman Wells,65.282,-126.8329,-3.96,89,100,15.43,CA,overcast clouds,2022-03-13 01:00:37
103,Erenhot,43.6475,111.9767,32.0,43,100,20.07,CN,overcast clouds,2022-03-13 01:00:37
104,Kaitangata,-46.2817,169.8464,63.73,56,0,7.58,NZ,clear sky,2022-03-13 01:00:38
105,Sur,22.5667,59.5289,77.74,44,6,5.35,OM,clear sky,2022-03-13 01:00:38
106,Cordoba,-31.4135,-64.1811,66.42,88,0,3.44,AR,clear sky,2022-03-13 00:59:04
107,Amapa,1.0,-52.0,72.5,99,100,2.06,BR,overcast clouds,2022-03-13 01:00:39
108,Saint-Philippe,-21.3585,55.7679,76.59,88,56,13.62,RE,moderate rain,2022-03-13 01:00:39
109,Saskylakh,71.9167,114.0833,-20.06,98,93,2.84,RU,overcast clouds,2022-03-13 01:00:40
110,Port Alfred,-33.5906,26.891,79.18,67,68,6.38,ZA,broken clouds,2022-03-13 01:00:40
111,Chicama,-7.8447,-79.1469,75.76,68,51,5.32,PE,broken clouds,2022-03-13 01:00:41
112,Mount Gambier,-37.8333,140.7667,79.74,22,3,1.41,AU,clear sky,2022-03-13 01:00:41
113,Nahrin,36.0649,69.1334,62.42,34,90,9.17,AF,overcast clouds,2022-03-13 01:00:41
114,Vitim,59.4511,112.5578,3.09,94,100,0.85,RU,overcast clouds,2022-03-13 01:00:42
115,Port Keats,-14.25,129.55,87.15,65,69,2.55,AU,broken clouds,2022-03-13 01:00:42
116,San Joaquin,37.9333,-121.3011,71.67,23,0,6.91,US,clear sky,2022-03-13 01:00:43
117,Hithadhoo,-0.6,73.0833,82.89,70,25,8.32,MV,scattered clouds,2022-03-13 01:00:43
118,Dikson,73.5069,80.5464,-10.43,94,100,19.28,RU,overcast clouds,2022-03-13 01:00:43
119,Walvis Bay,-22.9575,14.5053,65.08,91,84,6.73,NA,broken clouds,2022-03-13 01:00:44
120,Carnarvon,-24.8667,113.6333,77.77,62,0,13.73,AU,clear sky,2022-03-13 01:00:45
121,Sitka,57.0531,-135.33,39.45,91,100,1.5,US,overcast clouds,2022-03-13 00:59:23
122,Sabang,5.8933,95.3214,82.11,75,26,6.58,ID,scattered clouds,2022-03-13 01:00:45
123,East London,-33.0153,27.9116,77.86,72,8,11.1,ZA,clear sky,2022-03-13 01:00:35
124,Metro,-5.1131,105.3067,76.62,90,100,3.85,ID,overcast clouds,2022-03-13 01:00:46
125,Hamilton,39.1834,-84.5333,24.1,52,4,5.01,US,clear sky,2022-03-13 00:57:41
126,Huaibei,33.9744,116.7917,62.01,77,7,2.73,CN,clear sky,2022-03-13 01:00:46
127,Graaff-Reinet,-32.2522,24.5308,78.93,57,96,5.66,ZA,light rain,2022-03-13 01:00:46
128,Robore,-18.3333,-59.75,69.6,95,100,1.34,BO,overcast clouds,2022-03-13 01:00:47
129,San Carlos De Bariloche,-41.1456,-71.3082,58.64,61,89,3.09,AR,overcast clouds,2022-03-13 01:00:34
130,Portland,45.5234,-122.6762,51.08,88,100,8.99,US,moderate rain,2022-03-13 01:00:09
131,Wollongong,-34.4333,150.8833,72.09,92,81,2.71,AU,broken clouds,2022-03-13 01:00:26
132,Bluff,-46.6,168.3333,65.8,67,0,2.44,NZ,clear sky,2022-03-13 01:00:47
133,Adrar,20.5022,-10.0711,67.84,12,0,9.95,MR,clear sky,2022-03-13 01:00:47
134,Hofn,64.2539,-15.2082,37.81,68,100,2.37,IS,overcast clouds,2022-03-13 01:00:48
135,Samarai,-10.6167,150.6667,85.59,70,100,13.78,PG,moderate rain,2022-03-13 01:00:48
136,Vero Beach,27.6386,-80.3973,63.03,67,75,6.91,US,broken clouds,2022-03-13 01:00:46
137,Korla,41.7597,86.1469,48.63,42,91,7.85,CN,overcast clouds,2022-03-13 01:00:31
138,Bargi,22.9833,79.8667,67.51,26,0,1.48,IN,clear sky,2022-03-13 01:00:49
139,Toucheng,24.8592,121.8233,78.1,68,3,5.61,TW,clear sky,2022-03-13 01:00:49
140,Fare,-16.7,-151.0167,81.61,72,69,11.18,PF,broken clouds,2022-03-13 01:00:50
141,Mahebourg,-20.4081,57.7,79.25,85,66,10.85,MU,broken clouds,2022-03-13 01:00:50
142,Katsuura,35.1333,140.3,60.53,63,100,7.61,JP,overcast clouds,2022-03-13 01:00:50
143,Lebu,-37.6167,-73.65,58.01,92,19,16.26,CL,few clouds,2022-03-13 01:01:51
144,Shingu,33.7333,135.9833,65.43,60,100,7.94,JP,overcast clouds,2022-03-13 01:01:51
145,Yellowknife,62.456,-114.3525,2.41,78,75,9.22,CA,light snow,2022-03-13 00:57:17
146,North Bend,43.4065,-124.2243,52.25,96,100,1.99,US,overcast clouds,2022-03-13 01:01:51
147,Tura,25.5198,90.2201,70.38,28,17,2.84,IN,few clouds,2022-03-13 00:57:10
148,Aswan,24.0934,32.907,52.75,39,0,14.29,EG,clear sky,2022-03-13 01:01:52
149,Severo-Kurilsk,50.6789,156.125,32.77,83,96,6.33,RU,overcast clouds,2022-03-13 01:01:52
150,Luderitz,-26.6481,15.1594,63.7,93,4,11.34,NA,clear sky,2022-03-13 01:01:52
151,Mar Del Plata,-38.0023,-57.5575,65.08,82,0,4.61,AR,clear sky,2022-03-13 00:59:11
152,Hasaki,35.7333,140.8333,57.29,74,100,7.38,JP,light rain,2022-03-13 01:01:53
153,Saint Pete Beach,27.7253,-82.7412,58.15,62,0,11.99,US,clear sky,2022-03-13 01:00:39
154,Sept-Iles,50.2001,-66.3821,17.06,91,100,11.99,CA,overcast clouds,2022-03-13 01:00:30
155,Grand Gaube,-20.0064,57.6608,79.38,85,31,5.01,MU,scattered clouds,2022-03-13 01:01:53
156,Chegdomyn,51.1167,133.0167,19.72,88,100,1.66,RU,overcast clouds,2022-03-13 01:01:53
157,Mangrol,21.1167,70.1167,77.45,41,1,5.1,IN,clear sky,2022-03-13 01:01:54
158,Nianzishan,47.5167,122.8833,24.53,83,91,8.9,CN,overcast clouds,2022-03-13 01:01:54
159,Poum,-20.2333,164.0167,81.99,75,39,6.93,NC,scattered clouds,2022-03-13 01:01:54
160,Port Elizabeth,-33.918,25.5701,73.71,77,94,19.44,ZA,overcast clouds,2022-03-13 00:59:23
161,Vao,-22.6667,167.4833,79.56,70,100,11.34,NC,overcast clouds,2022-03-13 01:01:55
162,Atocha,-20.9333,-66.2333,52.81,36,0,6.17,BO,clear sky,2022-03-13 01:01:55
163,Newport,51.5877,-2.9984,47.77,87,100,4.0,GB,overcast clouds,2022-03-13 01:01:55
164,Lorengau,-2.0226,147.2712,84.6,70,100,6.4,PG,overcast clouds,2022-03-13 01:01:56
165,Bredasdorp,-34.5322,20.0403,65.89,73,2,8.43,ZA,clear sky,2022-03-13 01:01:56
166,Belaya Gora,68.5333,146.4167,-0.98,83,100,1.86,RU,overcast clouds,2022-03-13 01:01:56
167,Muros,42.7762,-9.0603,48.09,87,44,9.35,ES,scattered clouds,2022-03-13 01:01:57
168,Cap-Aux-Meules,47.3821,-61.8597,42.51,99,100,40.04,CA,overcast clouds,2022-03-13 01:01:57
169,Tiksi,71.6872,128.8694,-16.85,99,45,4.25,RU,scattered clouds,2022-03-13 01:01:58
170,Alofi,-19.0595,-169.9187,77.9,78,100,5.48,NU,overcast clouds,2022-03-13 01:01:58
171,Codrington,-38.2667,141.9667,76.37,37,5,1.83,AU,clear sky,2022-03-13 01:01:58
172,Victoria,22.2855,114.1577,76.24,80,0,11.01,HK,clear sky,2022-03-13 00:59:47
173,Pittsburg,38.028,-121.8847,65.01,37,81,4.0,US,broken clouds,2022-03-13 01:01:53
174,Taguatinga,-12.3857,-46.5711,73.78,89,70,0.89,BR,broken clouds,2022-03-13 01:01:59
175,Araure,9.5601,-69.2148,78.98,68,87,7.0,VE,overcast clouds,2022-03-13 01:01:59
176,Luanda,-8.8368,13.2343,80.6,78,20,5.75,AO,few clouds,2022-03-13 00:57:38
177,Praia,14.9215,-23.5087,70.57,73,0,15.35,CV,clear sky,2022-03-13 00:57:53
178,Jiayuguan,39.8167,98.3,43.25,34,37,2.28,CN,scattered clouds,2022-03-13 01:02:00
179,Bethel,41.3712,-73.414,24.66,79,100,11.5,US,overcast clouds,2022-03-13 00:58:03
180,Preobrazheniye,42.9019,133.9064,36.19,74,93,5.14,RU,overcast clouds,2022-03-13 01:02:00
181,Bengkulu,-3.8004,102.2655,77.49,87,100,3.71,ID,overcast clouds,2022-03-13 01:02:01
182,Sisimiut,66.9395,-53.6735,-3.95,98,100,6.58,GL,light snow,2022-03-13 01:02:01
183,Matara,5.9485,80.5353,75.6,89,99,3.6,LK,overcast clouds,2022-03-13 01:02:01
184,Dunedin,-45.8742,170.5036,63.19,67,0,8.86,NZ,clear sky,2022-03-13 01:02:02
185,Homer,59.6425,-151.5483,42.76,61,100,10.0,US,overcast clouds,2022-03-13 01:02:02
186,Haines Junction,60.7522,-137.5108,25.05,94,100,1.99,CA,light snow,2022-03-13 01:02:03
187,Denpasar,-8.65,115.2167,83.86,88,75,4.61,ID,broken clouds,2022-03-13 01:03:03
188,Thinadhoo,0.5333,72.9333,82.85,70,9,10.27,MV,clear sky,2022-03-13 01:03:04
189,Los Llanos De Aridane,28.6585,-17.9182,58.75,83,20,3.0,ES,few clouds,2022-03-13 01:03:04
190,Gazli,40.1333,63.45,53.98,72,100,10.76,UZ,overcast clouds,2022-03-13 01:03:04
191,Surt,31.2089,16.5887,55.69,64,100,13.62,LY,overcast clouds,2022-03-13 01:03:05
192,Castro,-24.7911,-50.0119,61.25,98,100,7.45,BR,overcast clouds,2022-03-13 01:03:05
193,Waingapu,-9.6567,120.2641,84.02,72,98,3.49,ID,moderate rain,2022-03-13 01:03:05
194,Ewa Beach,21.3156,-158.0072,81.99,48,5,20.0,US,clear sky,2022-03-13 01:03:06
195,Emerald,-23.5333,148.1667,81.34,49,6,17.05,AU,clear sky,2022-03-13 01:03:06
196,Colares,38.7992,-9.4469,55.76,77,33,20.0,PT,scattered clouds,2022-03-13 01:03:06
197,Mitsamiouli,-11.3847,43.2844,80.17,73,100,3.06,KM,overcast clouds,2022-03-13 01:03:07
198,Leningradskiy,69.3833,178.4167,3.79,88,8,6.87,RU,clear sky,2022-03-13 01:03:07
199,Wanaka,-44.7,169.15,68.11,55,19,1.99,NZ,few clouds,2022-03-13 01:02:12
200,Nago,26.5881,127.9761,73.83,71,11,10.87,JP,few clouds,2022-03-13 01:03:07
201,Guayaramerin,-10.8368,-65.3614,72.0,96,100,2.91,BO,overcast clouds,2022-03-13 01:03:08
202,Pevek,69.7008,170.3133,-6.59,97,97,2.55,RU,overcast clouds,2022-03-13 01:03:08
203,Ileza,61.0533,43.9002,26.46,98,100,3.69,RU,light snow,2022-03-13 01:03:08
204,Yermakovskoye,53.2831,92.4003,-2.42,98,98,1.86,RU,overcast clouds,2022-03-13 01:03:09
205,Ayagoz,47.9714,80.4392,30.65,98,100,4.7,KZ,snow,2022-03-13 01:03:09
206,Hovd,48.0056,91.6419,19.69,58,0,5.39,MN,clear sky,2022-03-13 01:03:09
207,Laurinburg,34.7741,-79.4628,35.82,38,0,14.97,US,clear sky,2022-03-13 01:03:10
